juno_address,cosmos_address,resp_amount,comment
juno100ekrs89rhnnqmj8eamcm0ksfvg908hhr78t668058632hstulwsyj0egj,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,38,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno102347ruftecjedq46chpcg5lz33e0d4gkh66vn,cosmos102347ruftecjedq46chpcg5lz33e0d4gq9ept0,4,
juno102dye4scjjd4ff9vu2mh47e7x6q7q9frjj7ngf2xdrur5vkevcrs8m79ex,cosmos1nxxz937qd6zqxllwplydy6hts97c4amaqj8jxa57nsme3dmckk4s3mqujr,20,"Smart-contract/module source address; RESP routed to the new Reputation SubDAO treasury, not to the contract address."
juno102qjvfwqy9paj3yks8v80885yh02yle8qcy7g8,cosmos102qjvfwqy9paj3yks8v80885yh02yle8k2890m,1,
juno102v5hzgvgzktwd33hszevkfcsqyh60xgymevau,cosmos102v5hzgvgzktwd33hszevkfcsqyh60xgjf6h6q,1,
juno1034gpkf540sy3fm6pvh34p3p3jy3w426uynuch,cosmos1034gpkf540sy3fm6pvh34p3p3jy3w4262ks8lt,6,
juno103l025fw2x7d8k8px7d07vu667x0h5p56mnveh,cosmos103l025fw2x7d8k8px7d07vu667x0h5p5vfsh7t,13,
juno103n0x78hlqg0egzg2932ya9kcwaq9js4eazzl4,cosmos103n0x78hlqg0egzg2932ya9kcwaq9js400pecf,5,
juno103verdnv4pzztty50ua7gs5gj25l2gwu0msyxy,cosmos103verdnv4pzztty50ua7gs5gj25l2gwuefnlpc,5,
juno1040d0mdm4xde2yaxy0e8l28pl3ww8hcv2gus58,cosmos1040d0mdm4xde2yaxy0e8l28pl3ww8hcvu6ltnm,50,
juno104mym7la7kar069m4mpullxkmwctxexnc6xe8j,cosmos104mym7la7kar069m4mpullxkmwctxexnwg9zqw,7,
juno104rmu0ag94ljwayu4qdh803g8rwrecqtuyquv6,cosmos104rmu0ag94ljwayu4qdh803g8rwrecqt2kr8tx,2,
juno104xpnszxggxwar0uykry69dq2zr4s0v5tzkrpl,cosmos104xpnszxggxwar0uykry69dq2zr4s0v5as4cxr,24,
juno104zwnd55uf8e07ehzljecpj764rsmvwd96gs65,cosmos104zwnd55uf8e07ehzljecpj764rsmvwdngttag,2,
juno105ccpl3pkkpqx3zmheerp52k8tahs9kl4r0c4z,cosmos105ccpl3pkkpqx3zmheerp52k8tahs9klr3vrj7,5,
juno105mmukjxmfeuv8jpga35yzdumcxacsz4mavd9x,cosmos105mmukjxmfeuv8jpga35yzdumcxacsz4d00kz6,1,
juno105w80fshz2vsa7yy5muajyrasdptagn3jnhjvn,cosmos105w80fshz2vsa7yy5muajyrasdptagn3yp5ft0,5,
juno105ytzzer2c6h63tfy9cu8x6sajclzzaxfqz6h0,cosmos105ytzzer2c6h63tfy9cu8x6sajclzzaxljppsn,5,
juno1069gs28axkmy4gz74kp0w2r86mdgrn4chaf4jz,cosmos1069gs28axkmy4gz74kp0w2r86mdgrn4cp02w47,4,
juno1078t56r2s4gucf3nu8sh7h4cqsd2sg73sv05fp,cosmos1078t56r2s4gucf3nu8sh7h4cqsd2sg73x7v0wa,5,
juno107u93j8nx26hf7tgmt32f4tz892x72avswg6rk,cosmos107u93j8nx26hf7tgmt32f4tz892x72avxutpy2,10,
juno107vcd0zwh2sckwmq9dwzvf4zrvuj7z2539ycen,cosmos107vcd0zwh2sckwmq9dwzvf4zrvuj7z258h8r70,34,
juno107vtc5kflupjz0dfurh8x444a2xtke9l6ace85,cosmos107vtc5kflupjz0dfurh8x444a2xtke9lv0mzqg,20,
juno1084swdrzwxajsg8tpjcelhvyc0qztltxw06qlx,cosmos1084swdrzwxajsg8tpjcelhvyc0qztltxcaemc6,2,
juno1089xjtn5c7n5kucp7439xsqgahu842h3t6g8tg,cosmos1089xjtn5c7n5kucp7439xsqgahu842h3agtuv5,1,
